address;district;area;bedrooms;garage;type;rent;total;cep;Zona
Avenida Jabaquara;Mirandópolis;28;1;0;Studio e kitnet;3000;3642;04046-000;Sul
Rua Bandeira Paulista;Itaim Bibi;42;1;1;Apartamento;7000;9736;04532-010;Sul
Alameda dos Anapurus;Indianópolis;30;1;0;Apartamento;1500;2061;04074-000;Sul
Rua Flórida;Cidade Monções;37;1;1;Apartamento;3400;4150;04565-000;Sul
Avenida Jandira;Indianópolis;31;1;1;Studio e kitnet;2430;4395;04080-007;Sul
Alameda dos Anapurus;Indianópolis;32;1;1;Studio e kitnet;5000;6943;04074-000;Sul
Avenida Rouxinol;Indianópolis;29;1;1;Studio e kitnet;3500;5173;04506-000;Sul
Avenida Itaboraí;Bosque da Saúde;57;2;1;Apartamento;1750;2710;04135-000;Sul
Rua Jocelyn Bennaton;Vila Nova Caledônia;98;3;2;Casa;4100;4281;04648-100;Sul
Rua Luís Correia de Melo;Vila Cruzeiro;37;1;1;Apartamento;3100;3820;04726-220;Sul
Rua Arizona;Cidade Monções;74;1;2;Apartamento;5500;6965;04580-051;Sul
Rua Gomes de Carvalho;Vila Olímpia;43;1;1;Apartamento;3400;4330;04547-000;Sul
Rua Tutóia;Vila Mariana;80;3;2;Apartamento;5150;6645;04007-000;Sul
Avenida Jamaris;Planalto Paulista;32;1;0;Studio e kitnet;2700;3513;04078-000;Sul
Rua Tabor;Ipiranga;55;2;1;Apartamento;3300;4141;04202-020;Sul
Rua do Paraíso;Paraíso;90;3;1;Casa;3300;3624;04103-001;Sul
Rua Professor Alberto Conte;Vila Moinho Velho;100;3;0;Casa;1900;2181;04286-070;Sul
Rua Arapá;Vila Mascote;58;2;1;Apartamento;2700;3581;04363-060;Sul
Rua Almeida Lisboa;Vila Firmiano Pinto;87;1;1;Casa;2500;2606;04125-050;Sul
Avenida Padre Arlindo Vieira;Jardim Vergueiro (sacoma);47;2;1;Apartamento;1220;1816;04166-003;Sul
Rua Abagiba;Saúde;127;2;2;Casa;2700;2745;04294-000;Sul
Rua Carlos Petit;Vila Mariana;160;4;1;Casa;3800;4393;04102-000;Sul
Rua Madre Maria da Assunção Soares;Santo Amaro;38;1;0;Studio e kitnet;2200;2484;04735-010;Sul
Rua Dom Lucas Obes;Ipiranga;40;1;0;Apartamento;1330;1481;04212-020;Sul
Rua Antônio de Macedo Soares;Campo Belo;47;2;1;Apartamento;4500;5329;04605-000;Sul
Rua Doutor Milton Cotrim Sonzzini;Vila Guarani (zona Sul);49;2;1;Casa;1600;1680;04311-120;Sul
Rua dos Macaxás;Vila Nair;100;2;3;Casa;3800;3863;04282-000;Sul
Rua Edmundo Carvalho;Vila Natália;50;2;1;Apartamento;1150;1811;04251-000;Sul
Rua Massaranduba;Vila Monte Alegre;40;1;1;Apartamento;2500;2596;04304-120;Sul
Rua Helene Londahl;Bosque da Saúde;50;1;0;Casa;1200;1297;04135-010;Sul
Rua dos Patriotas;Ipiranga;75;2;0;Apartamento;1650;2153;04261-050;Sul
Rua Chafic Maluf;Santo Amaro;120;2;2;Casa;5734;5977;04710-160;Sul
Rua Aquiles Jovane;Jardim Celeste;50;2;1;Apartamento;1220;1881;04195-150;Sul
Rua Bela Cintra;Consolação;38;1;1;Apartamento;2600;3108;04421-230;Sul
Rua Antônio Guarmerino;Cursino;50;2;1;Apartamento;1480;2067;04195-140;Sul
Rua Francisco Tapajós;Vila Santo Estéfano;51;2;1;Apartamento;3100;3220;04123-000;Sul
Rua Professor Vahia de Abreu;Vila Olímpia;56;1;1;Apartamento;3500;4269;04556-100;Sul
Rua Domingos de Santa Maria;Vila Guarani (z Sul);64;2;1;Apartamento;1994;2940;04311-040;Sul
Rua Praia do Castelo;Vila Mascote;69;2;1;Apartamento;2540;3628;04362-020;Sul
Rua Mil Oitocentos E Vinte E Dois;Ipiranga;30;1;0;Casa;1250;1353;04210-030;Sul
Avenida do Cursino;Vila das Merces;80;2;1;Apartamento;2000;3126;04132-000;Sul
Avenida Professor Sylla Mattos;Jardim Santa Cruz (sacomã);54;2;1;Apartamento;1184;1859;04182-010;Sul
Rua Antônio Gebara;Vila da Saúde;100;3;2;Casa;4000;4236;04071-020;Sul
Rua São José;Santo Amaro;49;1;1;Apartamento;2600;3228;04739-000;Sul
Avenida Euclides;Vila Fachini;60;2;0;Casa;1300;1475;04326-080;Sul
Avenida Yervant Kissajikian;Vila Constança;50;2;1;Apartamento;1460;2036;04657-000;Sul
Avenida Agua Funda;Vila Guarani (z Sul);36;1;0;Casa;1100;1222;04316-020;Sul
Rua Salvador Iacona;Vila Santa Catarina;65;2;1;Apartamento;2000;2806;04367-070;Sul
Rua David Eid;Vila do Castelo;54;2;2;Apartamento;2100;2939;04438-000;Sul
Rua Simão Lopes;Vila Moraes;60;3;1;Apartamento;1700;2347;04167-000;Sul
Rua Estero Belaco;Vila da Saúde;56;2;1;Apartamento;2227;3367;04145-020;Sul
Rua Padre Machado;Bosque da Saúde;35;0;0;Studio e kitnet;1750;1818;04035-001;Sul
Rua Professor Aprígio Gonzaga;São Judas;60;2;1;Apartamento;2000;2914;04303-000;Sul
Rua Santo André;Vila Sao Pedro;81;2;2;Casa em condomínio;3640;4061;04676-070;Sul
Rua Conde de Irajá;Vila Mariana;90;3;2;Apartamento;3700;4820;04119-010;Sul
Rua Nascimento Silva;Vila Campestre;45;1;0;Casa;1400;1460;04330-140;Sul
Rua Vapabussu;Jardim Aeroporto;50;1;1;Apartamento;3660;4401;04627-003;Sul
Rua Gustavo da Silveira;Vila Santa Catarina;52;2;0;Apartamento;1500;2345;04346-000;Sul
Rua Viaza;Jardim Aeroporto;53;2;1;Apartamento;3600;4367;04633-050;Sul
Avenida Afonso Mariano Fagundes;Vila da Saúde;32;1;1;Apartamento;2100;2732;04054-000;Sul
Rua Professor Tôrres Filhos;Santo Amaro;94;3;2;Apartamento;2900;4700;04742-030;Sul
Rua Nelson Fernandes;Cidade Vargas;18;1;0;Studio e kitnet;1150;1494;04319-000;Sul
Rua Dr. Antônio Bento;Santo Amaro;84;2;1;Apartamento;7500;8696;04750-010;Sul
Avenida Jabaquara;Mirandópolis;30;1;0;Studio e kitnet;2950;3534;04046-000;Sul
Rua Dom Sebastião do Rego;Vila Gumercindo;20;1;0;Casa;1100;1147;04129-000;Sul
Rua Tubarana;Vila Mariana;30;1;0;Apartamento;2700;2804;04113-020;Sul
Vila Guarani, São Paulo - Sp, 04317-180, Brasil;Vila Guarani;56;2;1;Apartamento;2299;3092;04317-180;Sul
Rua José Paulino de Araújo;Vila Constancia;60;2;0;Apartamento;1800;2063;04445-000;Sul
Rua Correia de Lemos;Chácara Inglesa;36;1;1;Studio e kitnet;2150;2800;04140-000;Sul
Rua Pedro de Toledo;Vila Clementino;90;1;1;Apartamento;3632;5472;04039-000;Sul
Rua Padre Bento Ibañez;Jardim Prudência;47;2;1;Apartamento;1838;2664;04649-030;Sul
Avenida Doutor Cardoso de Melo;Vila Olímpia;90;2;0;Casa;2500;2732;04548-000;Sul
Avenida Doutor Cardoso de Melo;Vila Olímpia;62;2;1;Apartamento;4655;6267;04548-000;Sul
Rua das Sempre-vivas;Jardim das Acacias;22;1;0;Studio e kitnet;2300;2898;04704-030;Sul
Rua Joaquim Guarani;Jardim das Acacias;36;1;0;Apartamento;3600;4290;04707-060;Sul
Rua das Flechas;Vila Santa Catarina;29;1;0;Apartamento;2400;2882;04364-030;Sul
Rua Guiratinga;Chácara Inglesa;62;2;1;Apartamento;3306;4411;04128-030;Sul
Rua Alexandre Dumas;Santo Amaro;43;2;1;Apartamento;3000;3930;04717-000;Sul
Rua Padre Abreu E Lima;Parque Jabaquara;260;4;2;Casa;9000;9691;04358-130;Sul
Rua Antônio José Vaz;Vila Caraguatá;68;3;1;Apartamento;2150;2683;04191-190;Sul
Avenida Santo Amaro;Vila Nova Conceição;27;1;0;Apartamento;4000;4586;04506-000;Sul
Rua Borges Lagoa;Vila Clementino;19;1;0;Studio e kitnet;1020;1713;04038-000;Sul
Rua Diogo Jácome;Vila Nova Conceição;50;1;1;Studio e kitnet;4800;6681;04512-000;Sul
Rua Manoel Salgado;Vila Caraguata;65;3;1;Apartamento;3000;3589;04191-270;Sul
Rua Doutor Samuel Porto;Saúde;68;2;1;Apartamento;2500;3632;04054-010;Sul
Rua Caramuru;Vila da Saúde;33;2;0;Apartamento;3000;3683;04138-000;Sul
Rua Elias Antonio Zogbi;Santo Amaro;85;2;2;Apartamento;5500;6777;04746-115;Sul
Rua C;Sacomã;79;3;1;Apartamento;1800;2639;04182-010;Sul
Rua Joinville;Paraíso;50;1;1;Apartamento;2663;4898;04008-010;Sul
Rua Urussuí;Itaim Bibi;70;2;2;Apartamento;4100;6783;04542-050;Sul
Rua Ameixeiras;Taboão;28;1;0;Casa;550;604;04382-050;Sul
Rua Bela Cintra;Consolação;26;1;0;Studio e kitnet;3292;3927;04421-230;Sul
Rua Vale do Alva;Cidade Domitila;45;1;0;Casa;790;824;04387-090;Sul
Rua Guiratinga;Chácara Inglesa;55;2;1;Apartamento;2174;3623;04128-030;Sul
Rua Fernandes Moreira;Chácara Santo Antônio (Zona Sul);60;2;0;Apartamento;2750;3935;04716-000;Sul
Rua Horácio Alves da Costa;Jardim Nosso Lar;67;3;2;Apartamento;3800;4774;04401-000;Sul
Avenida Portugal;Brooklin Paulista;78;2;1;Apartamento;6510;7953;04555-010;Sul
Avenida Jamaris;Planalto Paulista;70;1;1;Apartamento;3819;5186;04078-000;Sul
Rua Guiratinga;Chácara Inglesa;101;3;2;Apartamento;3300;5161;04128-030;Sul
Rua Casa do Ator;Vila Olímpia;26;1;1;Studio e kitnet;3190;4198;04546-000;Sul
Rua Wilson Vallim;Vila São Paulo;65;2;1;Apartamento;2000;3146;04651-150;Sul
Rua Taciba;Vila Babilônia;80;3;2;Casa;2128;2315;04350-000;Sul
